Artist1,Artist2,weight,isConnected
2 Chainz,MadeinTYO,1,True
SHIMA,Sumire,1,True
Khalid,Logic,1,True
Drake,The Weeknd,1,True
Pierce The Veil,Rich Homie Quan,0,False
6LACK,Peach Boi,0,False
Anaya Lovenote,TEAM2MVCH,0,False
Benjazzy,Exede,0,False
Kanye West,Tyga,1,True
Hundred Waters,Ivy Adara,0,False
Elton John,George Michael,1,True
Natalie Major,PnB Rock,0,False
Mako,Steve Angello,1,True
Hundred Waters,JAY-Z,0,False
GhostDragon,Jonas Brothers,0,False
NAV,Taylor Swift,0,False
Fabolous,Portugal. The Man,0,False
A Great Big World,Robbie Rosen,0,False
Drake,Rihanna,1,True
KEIJU,Kvi Baba,1,True
Regard,Tate McRae,1,True
E-40,Jay Anthony,1,True
BJ The Chicago Kid,Garrett Raff,0,False
Wiz Khalifa,Young Thug,1,True
Michael Kaneko,Yu Sakai,1,True
Kid Cudi,Project Pat,0,False
Chasing Grace,James Arthur,1,True
DJ SpinKing,Dave Days,0,False
Chance the Rapper,Natalie Major,0,False
Jhené Aiko,Lunis,0,False
Darell,Nicky Jam,1,True
Becky G,The Wild Pair,0,False
Johnny Cash,June Carter Cash,1,True
Galimatias,Kaidro,0,False
DJ Khaled,Drake,0,False
Jason Donovan,Kylie Minogue,1,True
Barbra Streisand,Céline Dion,1,True
21 Savage,Drake,1,True
Annie Lennox,Whitney Houston,0,False
KYLE,Raury,0,False
Into The Ether,Rafa Pabön,0,False
Kan Sano,ぷにぷに電機,1,True
Krimsonn,Steve Aoki,0,False
Ed Sheeran,Taylor Swift,1,True
Jason Donovan,Patrick Key,0,False
Benjazzy,OHTORA,0,False
T.I.,Usher,0,False
Alessia Labate,Rebecca Naomi Jones,0,False
John Barry,Shirley Bassey,1,True
Mary J. Blige,U2,1,True
Electus,Tate McRae,0,False
Aaliyah,Joe Cocker,0,False
NF Zessho,ZIN,1,True
Post Malone,SZA,1,True
A Boogie Wit da Hoodie,Khalid,1,True
HALIENE,Mr. Ivex,0,False
Jason Ross,Metro Boomin,0,False
Jacquees,Lil Baby,1,True
Feyln,Tristan Klampert,1,True
EL3CTRXX,Ryan Lewis,0,False
Dave Stewart,Lennon,0,False
JUVENILE,Pitbull,0,False
Alicia Keys,Jack White,1,True
NF Zessho,Trevor Daniel,0,False
Dae Dae,Ed Sheeran,0,False
HALIENE,Street Money Boochie,0,False
Chris Brown,Gunna,1,True
Giveon,Justin Bieber,1,True
AmanderSings,Ghost,1,True
Chris Brown,Drake,1,True
A Boogie Wit da Hoodie,DJ SpinKing,1,True
Lionel Richie,Maren Morris,0,False
AmanderSings,BEAUZ,1,True
Janelle Monáe,fun.,1,True
Macklemore,Macklemore & Ryan Lewis,1,True
Alesso,Hurts,1,True
Barbara Dickson,Rebecca Naomi Jones,0,False
Kali Uchis,The Dakotas,0,False
Cheat Codes,Demi Lovato,1,True
Exede,Hoang,1,True
Fausto Fanizza,Thomas Schwartz,1,True
Daya,The Chainsmokers,1,True
Chris Brown,Juicy J,1,True
East 17,Sephyx,0,False
Kid Cudi,Ratatat,1,True
Hikari,Tokimeki Records,1,True
James Ty,The Neptunes,0,False
Kosling,OMZ,1,True
Gareth Gates,Will Young,1,True
Drake,Future,2,True
BTS,Tyga,0,False
Daft Punk,The Glitch Mob,1,True
G-Eazy,Jay Anthony,1,True
Drake,Young Money,1,True
C.O.S.A.,KID FRESINO,1,True
Gucci Mane,Karl Sylver,0,False
FRONTIER BACKYARD,Hugh Kim,1,True
Chris Brown,Ludacris,1,True
Dalex,Feid,1,True
Elley Duhé,Gryffin,1,True
Drake,Nicki Minaj,1,True
Lil Yachty,Young Thug,1,True
Eurythmics,Exede,0,False
Kyla,Yaffle,0,False
MFS,TCTS,0,False
Coldplay,Salma Slims,0,False
Fabolous,Trey Songz,1,True
Axollo,KM,0,False
Future,Khalid,1,True
Daichi Yamamoto,The Glitch Mob,0,False
Mariah Carey,Whitney Houston,1,True
Colbie Caillat,Jason Mraz,1,True
Gareth Gates,Yu Sakai,0,False
Gryffin,Ivy Adara,1,True
Caslow,Jay Anthony,0,False
Juice WRLD,mabanua,0,False
Ariana Grande,The Weeknd,1,True
Drake,Young Thug,1,True
Alina Baraz,Galimatias,1,True
Michael Kaneko,The Glitch Mob,0,False
Kevu,Rae Sremmurd,0,False
Gucci Mane,Smiley,0,False
Kid Cudi,MGMT,1,True
Robin Hannibal,Skrillex,1,True
Chris Brown,MadeinTYO,0,False
Anuel AA,Prince Royce,1,True
DJ Drama,KEIJU,0,False
DE DE MOUSE,ぷにぷに電機,1,True
Eurielle,Marvin Gaye,0,False
Anuel AA,Tems,0,False
John Gallagher Jr.,Stark Sands,1,True
Skippa Da Flippa,Summer Walker,0,False
Rebecca Naomi Jones,Stark Sands,1,True
Gareth Gates,Usher,0,False
MONY HORSE,SPARTA,1,True
Leon Fanourakis,fun.,0,False
Jonny Rose,Kiesza,0,False
Kylie Minogue,Robbie Williams,1,True
Alessia Labate,MIYACHI,0,False
Dougal,MFS,0,False
DJ Drama,Jhené Aiko,1,True
Electus,Feid,0,False
ASOBOiSM,Spooks,0,False
Johnny Cash,Run–D.M.C.,0,False
Oh Wonder,ScHoolboy Q,0,False
H.E.R.,Hundred Waters,0,False
Barbara Dickson,Young Money,0,False
Hundred Waters,Moses Sumney,1,True
Rich Brian,XXXTENTACION,1,True
Keith Ape,Sech,0,False
AAAMYYY,Daichi Yamamoto,1,True
MadeinTYO,Maroon 5,0,False
Bassnectar,Lafa Taylor,1,True
Kyla,Mondo Grosso,0,False
Anklebreaker,Tory Lanez,0,False
JUVENILE,Taichi Mukai,1,True
Anklebreaker,TCM,1,True
Chris Brown,Jhené Aiko,1,True
EL3CTRXX,Riggi & Piros,1,True
Cerys Matthews,Tom Jones,1,True
Exede,GhostDragon,1,True
A Boogie Wit da Hoodie,Don Q,1,True
BoA,Kodak Black,0,False
21 Savage,Project Pat,1,True
Nezumi Coo,Sam Smith,0,False
Charlie Puth,Nelly Furtado,0,False
KM,Trinidad James,0,False
Jonny Rose,Rae Sremmurd,0,False
Justin Bieber,Nelly,0,False
Alessia Cara,Logic,1,True
George Michael,Mary J. Blige,1,True
Anuel AA,Darell,1,True
Adrenalize,Atmozfears,1,True
Chase Rice,Jeremih,0,False
Alessia Cara,SHIMA,0,False
Au5,HALIENE,1,True
Thimlife,Tory Lanez,0,False
J. Davi$,Rob $tone,1,True
Freddie Mercury,Montserrat Caballé,1,True
Herbie Hancock,Lafa Taylor,0,False
Leon Fanourakis,MFS,1,True
Hellblasterz,Sam Smith,0,False
East 17,Gabrielle,1,True
Big Sean,Fabolous,0,False
AAAMYYY,Dougal,0,False
Kiesza,YoungBoy Never Broke Again,0,False
Peabo Bryson,Thimlife,0,False
Feid,KHEA,1,True
Dalex,Ryan Hurd,0,False
Jay Anthony,Kosling,0,False
